%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1597572338380366543,24,1596468856489434843,map,-1.58603286743,-7.78388977051,-1.21957397461,0.0369929178783,-0.0606299703351,-0.756447319624,0.650186883409
1597572338875820418,25,1596468856989800937,map,-1.62908744812,-8.23336696625,-1.22531402111,-0.0161263634812,0.00125452240446,-0.733102495159,0.679925803427
1597572339368536756,26,1596468857470730259,map,-1.722240448,-8.57640171051,-1.17762088776,-0.0148372190488,0.00546174504685,-0.757799679354,0.652295693871
1597572339894442149,27,1596468857988869686,map,-1.91458702087,-9.04497528076,-1.18762564659,0.0231280445257,-0.102402493267,-0.782745409637,0.613423545864
1597572340367712714,28,1596468858470861144,map,-1.92044830322,-9.51579475403,-1.15486180782,0.0185002857875,-0.0192247827134,-0.756428146309,0.653532406715
1597572340874539488,29,1596468858988826405,map,-1.89928436279,-10.0025997162,-1.16947722435,-0.0535752743795,0.0160155487273,-0.738346997359,0.672098879381
1597572341424345208,30,1596468859489778436,map,-2.04881286621,-10.4134902954,-1.21656942368,0.0204811571754,-0.0685775608487,-0.745620546169,0.662516144316
1597572341876274678,31,1596468859988796613,map,-2.05097198486,-10.7711372375,-1.14292526245,0.0484121356637,-0.0528016560132,-0.764181575145,0.641010741292
1597572342375927562,32,1596468860488934060,map,-1.96797943115,-11.1890926361,-1.16704583168,-0.0263801828405,0.0489467740097,-0.732539931076,0.678449370732
1597572342889172059,33,1596468860988745518,map,-2.02790641785,-11.5490779877,-1.26472854614,0.0487180932812,0.0411121615309,-0.738641110835,0.67107797382
1597572343376681096,34,1596468861489152029,map,-2.05016326904,-11.8811149597,-1.29437947273,0.0741440941107,0.0619279458996,-0.716610783436,0.690750727751
1597572343880511661,35,1596468861989798747,map,-2.0118598938,-12.2060079575,-1.44091868401,0.10435872071,0.0886277948335,-0.709800561998,0.690968547462
1597572344375366498,36,1596468862489027497,map,-2.00457572937,-12.5209522247,-1.39908134937,0.106955938006,0.0778916601398,-0.726654135951,0.674141738295
1597572344879323078,37,1596468862988768122,map,-2.09054946899,-12.8866214752,-1.40566277504,0.0317567221439,0.0119157386197,-0.723521322591,0.689468216474
1597572345375304933,38,1596468863488799215,map,-2.13864707947,-13.172039032,-1.28182458878,-0.0154994586998,-0.0317233525536,-0.718968098169,0.694145712007
1597572345875647816,39,1596468863988781038,map,-2.18065452576,-13.4745311737,-1.15178465843,-0.0516567432195,-0.0856021553993,-0.724045630728,0.6824674179
1597572346360377630,40,1596468864470711975,map,-2.24936294556,-13.7951984406,-1.07987570763,-0.0891603162988,-0.115544826364,-0.721176259287,0.677203539667
1597572346875570252,41,1596468864989040621,map,-2.26420021057,-14.0629024506,-0.944580376148,-0.100080487367,-0.113830602947,-0.702789705406,0.695063392689
1597572347415606164,42,1596468865489733642,map,-2.27632904053,-14.3681612015,-0.930495977402,-0.074093496059,-0.066860495173,-0.710684711896,0.696395769878
1597572347856663460,43,1596468865969810464,map,-2.33976554871,-14.6329727173,-0.918985009193,-0.0309317103384,-0.0446124197418,-0.7147204985,0.697300201007
1597572348389147289,44,1596468866488794787,map,-2.39617729187,-14.8327388763,-0.864453434944,0.0277539633565,-0.00140690513894,-0.716900808541,0.69662110853
1597572348881841972,45,1596468866988518277,map,-2.40832710266,-15.0104703903,-0.895917415619,0.0442158247532,0.025026666546,-0.721872748032,0.690158215522
1597572349360637280,46,1596468867470616297,map,-2.43955993652,-15.1530456543,-0.892385005951,0.117041111688,0.0673747454714,-0.725015763373,0.675362247026
1597572349876160923,47,1596468867988756662,map,-2.46877861023,-15.3166379929,-0.91139626503,0.109137893443,0.0718304763876,-0.728578868543,0.672385406735
1597572350359579425,48,1596468868470805359,map,-2.43737411499,-15.6224565506,-0.929539144039,0.132510987226,0.0998340953224,-0.719210167267,0.674693061306
1597572350879444264,49,1596468868988802703,map,-2.4201335907,-15.8069295883,-0.871209919453,0.0882864122372,0.0604773476085,-0.750662667682,0.65196131725
1597572351387465929,50,1596468869488531973,map,-2.43035507202,-16.0290050507,-0.838242769241,0.0524879527502,0.0266710650467,-0.73490687204,0.675607547718
1597572351900231430,51,1596468869988455619,map,-2.43956947327,-16.2787532806,-0.734898507595,0.0174608240677,-0.0255623898567,-0.728055014698,0.684819377223
1597572352385749340,52,1596468870488405879,map,-2.44351577759,-16.5788192749,-0.639056921005,-0.0456798118113,-0.0523732100899,-0.737793806711,0.671439275316
1597572352904255779,53,1596468870988749108,map,-2.47300338745,-16.8742218018,-0.583504021168,-0.0598535122968,-0.0868610087005,-0.740782660408,0.663410711605
1597572353374502249,54,1596468871488730098,map,-2.48002624512,-17.1154022217,-0.469577491283,-0.0762397494029,-0.107288212032,-0.718417241924,0.683047148208
1597572353881615547,55,1596468871988328483,map,-2.47044754028,-17.3665924072,-0.464291185141,-0.0821326940513,-0.121831751523,-0.717487437608,0.680898686857
1597572354374497685,56,1596468872488396712,map,-2.48380470276,-17.5597610474,-0.469788134098,-0.0606260839981,-0.0817487852235,-0.736847124065,0.668354643742
1597572354878586716,57,1596468872988760618,map,-2.52055740356,-17.753660202,-0.475342452526,0.0109592684647,0.0345304234715,0.705965158093,-0.707319404405
1597572355375029372,58,1596468873488732441,map,-2.48272132874,-17.9092597961,-0.505151867867,0.0347054136794,-0.0141355312097,-0.725277751248,0.687435745771
1597572355877683880,59,1596468873988480201,map,-2.43613815308,-17.9884128571,-0.437241703272,0.043136864021,0.00212094309115,-0.733927744982,0.677853064984
1597572356379157360,60,1596468874488731034,map,-2.30867004395,-17.9616603851,-0.408817857504,-0.0197992079053,-0.0175098347143,0.556431727819,-0.830472834794
1597572356876295039,61,1596468874988388013,map,-2.06998252869,-17.7633361816,-0.42286747694,-0.0266597004697,-0.0141204266392,0.308048620513,-0.950892171238
1597572357389681636,62,1596468875488285461,map,-1.98616409302,-17.6706314087,-0.473498225212,-0.0279800490826,-0.0218797159167,0.135128955293,-0.990191173626
1597572357884665865,63,1596468875988258742,map,-1.95364379883,-17.6468849182,-0.491427779198,0.0490347869694,-0.0625706464607,-0.0255892855619,-0.99650674475
1597572358361919456,64,1596468876469686294,map,-1.7243938446,-17.6447219849,-0.544879794121,0.0637989321063,-0.0464601425255,-0.0356080922097,-0.996244555914
1597572358858241793,65,1596468876970655564,map,-1.40820121765,-17.6830444336,-0.541260719299,0.0948030729616,-0.0564816461184,0.0212495946543,-0.993665263424
1597572359376621336,66,1596468877488518533,map,-1.12671852112,-17.7616596222,-0.566041827202,0.136590615524,-0.0405003583719,-0.0105877232511,-0.989742706383
1597572359862720734,67,1596468877970631345,map,-0.849752426147,-17.8373260498,-0.647620797157,0.136587245529,-0.0421426128059,0.0127349560896,-0.989649304268
1597572360379172114,68,1596468878488515616,map,-0.587970733643,-17.9478740692,-0.688767552376,0.12318690933,-0.0645998552173,0.0860293860007,-0.986534737767
1597572360881883498,69,1596468878988115772,map,-0.367757797241,-17.9957866669,-0.704747200012,0.110211909246,-0.0709280317704,0.058082492872,-0.989671144063
1597572361356674569,70,1596468879469715303,map,-0.126720428467,-18.0515556335,-0.783106267452,0.0818329633775,-0.0389651963412,0.0476053265805,-0.99474560188
1597572361888383173,71,1596468879988251084,map,0.0759315490723,-18.1584911346,-0.818344295025,0.0683561140439,-0.041463037494,0.0494909530666,-0.995569637825
1597572362378868560,72,1596468880489791136,map,0.209400177002,-18.2063503265,-0.846422314644,0.0861320507687,-0.0478302685678,-0.0547041459573,-0.993630208707
1597572362878169547,73,1596468880988368636,map,0.313806533813,-18.1469268799,-0.90020352602,0.111771143184,-0.0229518732555,-0.109793203743,-0.987383347782
1597572363375147960,74,1596468881488274729,map,0.158128738403,-18.0109214783,-0.962902188301,0.0799346088977,-0.000807245251991,-0.35460961755,-0.931591018525
1597572363879432627,75,1596468881988064052,map,0.105051040649,-18.0853290558,-0.992276370525,0.0496031114064,-0.0131508708996,-0.637942724237,-0.768372088591
